Subject,phase,V1,V2,V3,V4,V5,V6,V0,id,session,meanHighChoice,meanPerf,propBest_HvLv,n_HvLv_trials,propBest_HvLv_eqRounds
10,1,0.10833333333333334,0.20833333333333334,0.09166666666666666,0.24166666666666667,0.08333333333333333,0.26666666666666666,0,1886,2,0.7166666666666667,0.8697880271448101,0.8611111111111112,72,0.8611111111111112
10,2,0.06666666666666667,0.23333333333333334,0.08333333333333333,0.2833333333333333,0.075,0.25833333333333336,0,1886,2,0.7749999999999999,0.9161975221555296,0.9583333333333334,72,0.9583333333333333
11,1,0.06666666666666667,0.25,0.13333333333333333,0.24166666666666667,0.09166666666666666,0.2,0.016666666666666666,1883,2,0.6916666666666667,0.8211929962893151,0.8194444444444444,72,0.8194444444444444
11,2,0.05,0.21666666666666667,0.125,0.25833333333333336,0.09166666666666666,0.25833333333333336,0,1883,2,0.7333333333333334,0.8923613983190837,0.8888888888888888,72,0.8888888888888888
12,1,0.10833333333333334,0.24166666666666667,0.06666666666666667,0.25,0.1,0.23333333333333334,0,1882,2,0.7250000000000001,0.8381931307262608,0.875,72,0.875
12,2,0.10833333333333334,0.275,0.06666666666666667,0.26666666666666666,0.03333333333333333,0.25,0,1882,2,0.7916666666666667,0.933633544674451,0.9861111111111112,72,0.9861111111111112
13,1,0.10833333333333334,0.24166666666666667,0.1,0.23333333333333334,0.09166666666666666,0.225,0,1881,2,0.7,0.828621825678732,0.8333333333333334,72,0.8333333333333333
13,2,0.05,0.25,0.09166666666666666,0.23333333333333334,0.08333333333333333,0.2916666666666667,0,1881,2,0.775,0.9100610082241558,0.9583333333333334,72,0.9583333333333333
14,1,0.11666666666666667,0.275,0.075,0.23333333333333334,0.075,0.225,0,1878,2,0.7333333333333333,0.872872708334108,0.8888888888888888,72,0.8888888888888888
14,2,0.075,0.26666666666666666,0.08333333333333333,0.2916666666666667,0.041666666666666664,0.24166666666666667,0,1878,2,0.8,0.9597656290237588,1,72,1
15,1,0.09166666666666666,0.26666666666666666,0.10833333333333334,0.225,0.1,0.20833333333333334,0,1875,2,0.7000000000000001,0.8299087084815849,0.8333333333333334,72,0.8333333333333333
15,2,0.075,0.275,0.09166666666666666,0.225,0.10833333333333334,0.225,0,1875,2,0.725,0.8590227546065035,0.875,72,0.875
